"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"7SK.2"	0.000534071147719249	1.64071682651202	0.367	0.489	1
"SPP1"	0.00712308893811064	1.18880834608515	0.437	0.675	1
"APOE"	0.283155917754549	1.09415269578383	0.365	0.532	1
"LYZ"	0.652759748914131	0.993691055542605	0.261	0.358	1
"S100A8"	2.31146944386124e-14	0.928630243057206	0.102	0.203	5.66286899051564e-10
"MTRNR2L12"	2.46294170476968e-06	0.804801872054447	0.332	0.559	0.0603396088251524
"RPL38"	0	0.781484478972347	0.981	0.992	0
"IGFBP7"	0.0790811171874246	0.77738161069587	0.174	0.185	1
"RPL27A"	0	0.765755001814199	0.977	0.997	0
"RPL13A"	1.29786255931195e-289	0.753783271020512	0.957	0.993	3.17963348405835e-285
"MTRNR2L8"	3.61299364176141e-36	0.750920432561941	0.165	0.41	8.85147312295127e-32
"RPL35"	4.69960008250442e-249	0.749736163942597	0.96	0.986	1.15135502421276e-244
"C1QA"	0.78499816135058	0.747447630556761	0.169	0.199	1
"APOC1"	5.38085835045941e-18	0.743343251780212	0.185	0.373	1.31825648727905e-13
"C1QB"	0.640260571445739	0.718451885524847	0.17	0.211	1
"PLP1"	0.0658581684131405	0.706450938792981	0.152	0.204	1
"FTL"	6.87998411630217e-153	0.702189967258495	0.979	0.999	1.68552730865287e-148
"MBP"	1.024999735375e-68	0.67256517325035	0.104	0.38	2.51114685169522e-64
"RPL37A"	0	0.653910145981478	0.997	0.999	0
"C6orf48"	2.27265821993727e-12	0.636620619602914	0.401	0.819	5.56778537302431e-08
"RPS18"	0	0.622734063771504	0.995	0.999	0
"RPS19"	5.70403419682573e-217	0.607822193495497	0.973	0.995	1.39743133788034e-212
"SRGN"	7.94500578463556e-13	0.594923824553827	0.151	0.284	1.94644696717786e-08
"RPS24"	8.59138101559148e-268	0.593710295297792	0.993	0.998	2.10480243500976e-263
"RPS29"	2.43661569095444e-191	0.581638736211224	0.985	0.993	5.96946478126928e-187
"RPL31"	1.81702594592238e-133	0.580532859849308	0.83	0.989	4.45153186491525e-129
"RPL10A"	1.13105417075361e-182	0.557164931637203	0.954	0.99	2.77096961292927e-178
"VIM"	2.12644347693685e-66	0.551280676781269	0.771	0.807	5.2095738741476e-62
"UQCRB"	1.77051644225369e-115	0.544412511952121	0.866	0.984	4.33758823187733e-111
"RPL37"	0	0.542214492916336	0.998	0.999	0
"USMG5"	5.37244454321226e-40	0.534020740420874	0.711	0.947	1.31619518864157e-35
"RPL18A"	6.1141311659067e-187	0.5324892682547	0.978	0.996	1.49790099433548e-182
"FAM3C"	2.07776203033306e-14	0.524514349390941	0.646	0.911	5.09030919811296e-10
"RPS27"	5.82692222828208e-243	0.516997468932857	0.997	0.999	1.42753767670683e-238
"RPL27"	2.57285120180939e-125	0.51562506739078	0.91	0.988	6.30322815931281e-121
"RPS3A"	4.99970226867573e-252	0.510010938849208	0.997	0.998	1.22487705880287e-247
